9	104
economic CODE	YEAR	QUARTAL	CPI	GNP82	M2SUPPLY	PERWELTH	TBILL
1	1	1962	1	0.00	0.00	0.00	265.70	0.00
2	2	1962	2	0.10	18.50	17.90	271.80	1.36
3	3	1962	3	0.10	16.70	13.90	272.60	0.06
4	4	1962	4	0.10	-3.00	18.90	268.90	0.04
5	5	1963	1	0.00	24.50	24.20	271.50	0.03
6	6	1963	2	0.10	25.40	21.50	273.80	0.07
7	7	1963	3	0.20	32.50	19.00	272.20	0.18
8	8	1963	4	0.10	13.60	17.60	282.30	0.28
9	9	1964	1	0.10	42.60	17.50	281.60	0.13
10	10	1964	2	0.00	16.70	19.70	285.10	-0.01
11	11	1964	3	0.20	19.80	24.30	285.80	-0.01
12	12	1964	4	0.10	8.50	21.80	303.00	0.11
13	13	1965	1	0.00	43.20	23.00	300.30	0.20
14	14	1965	2	0.30	29.50	12.20	309.40	0.10
15	15	1965	3	0.10	32.90	21.60	321.40	-0.02
16	16	1965	4	0.10	48.30	22.50	317.80	0.14
17	17	1966	1	0.30	42.50	13.40	318.20	0.39
18	18	1966	2	0.30	5.70	1.00	332.60	0.22
19	19	1966	3	0.30	22.50	-2.70	339.10	0.21
20	20	1966	4	0.30	10.90	2.10	356.00	0.33
21	21	1967	1	0.00	12.60	19.40	369.70	-0.26
22	22	1967	2	0.30	13.40	24.20	366.40	-0.79
23	23	1967	3	0.30	32.50	28.50	378.50	-0.09
24	24	1967	4	0.30	12.90	16.20	383.20	0.56
25	25	1968	1	0.40	26.70	6.70	381.20	0.36
26	26	1968	2	0.30	39.60	9.60	394.20	0.36
27	27	1968	3	0.50	18.40	8.90	394.20	0.09
28	28	1968	4	0.40	-2.30	17.10	407.20	0.03
29	29	1969	1	0.40	33.50	6.20	406.80	0.45
30	30	1969	2	0.60	3.30	-9.00	420.40	0.33
31	31	1969	3	0.60	13.40	-11.10	439.20	0.46
32	32	1969	4	0.50	-9.70	-9.50	442.20	0.54
